160630 13:52:40	 1862 Connect	root@localhost as anonymous on opencart
		 1866 Query	SELECT points FROM oc_product_reward WHERE product_id = '50' AND customer_group_id = '1'
		 1866 Query	SELECT * FROM oc_product_to_download p2d LEFT JOIN oc_download d ON (p2d.download_id = d.download_id) LEFT JOIN oc_download_description dd ON (d.download_id = dd.download_id) WHERE p2d.product_id = '50' AND dd.language_id = '1'
		 1866 Query	SELECT * FROM oc_recurring r LEFT JOIN oc_product_recurring pr ON (r.recurring_id = pr.recurring_id) LEFT JOIN oc_recurring_description rd ON (r.recurring_id = rd.recurring_id) WHERE r.recurring_id = '0' AND pr.product_id = '50' AND rd.language_id = 1 AND r.status = 1 AND pr.customer_group_id = '1'
		 1866 Query	SELECT SUM(amount) AS total FROM oc_customer_transaction WHERE customer_id = '1'
		 1866 Query	SELECT * FROM oc_cart WHERE customer_id = '1' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1866 Query	SELECT * FROM oc_product_to_store p2s LEFT JOIN oc_product p ON (p2s.product_id = p.product_id) LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) WHERE p2s.store_id = '0' AND p2s.product_id = '50' AND pd.language_id = '1' AND p.date_available <= NOW() AND p.status = '1'
		 1866 Query	SELECT price FROM oc_product_discount WHERE product_id = '50' AND customer_group_id = '1' AND quantity <= '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY quantity DESC, priority ASC, price ASC LIMIT 1
		 1866 Query	SELECT price FROM oc_product_special WHERE product_id = '50' AND customer_group_id = '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY priority ASC, price ASC LIMIT 1
		 1866 Query	SELECT points FROM oc_product_reward WHERE product_id = '50' AND customer_group_id = '1'
		 1866 Query	SELECT * FROM oc_product_to_download p2d LEFT JOIN oc_download d ON (p2d.download_id = d.download_id) LEFT JOIN oc_download_description dd ON (d.download_id = dd.download_id) WHERE p2d.product_id = '50' AND dd.language_id = '1'
		 1866 Query	SELECT * FROM oc_recurring r LEFT JOIN oc_product_recurring pr ON (r.recurring_id = pr.recurring_id) LEFT JOIN oc_recurring_description rd ON (r.recurring_id = rd.recurring_id) WHERE r.recurring_id = '0' AND pr.product_id = '50' AND rd.language_id = 1 AND r.status = 1 AND pr.customer_group_id = '1'
		 1866 Query	SELECT * FROM oc_cart WHERE customer_id = '1' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1866 Query	SELECT * FROM oc_product_to_store p2s LEFT JOIN oc_product p ON (p2s.product_id = p.product_id) LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) WHERE p2s.store_id = '0' AND p2s.product_id = '50' AND pd.language_id = '1' AND p.date_available <= NOW() AND p.status = '1'
		 1866 Query	SELECT price FROM oc_product_discount WHERE product_id = '50' AND customer_group_id = '1' AND quantity <= '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY quantity DESC, priority ASC, price ASC LIMIT 1
		 1866 Query	SELECT price FROM oc_product_special WHERE product_id = '50' AND customer_group_id = '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY priority ASC, price ASC LIMIT 1
		 1866 Query	SELECT points FROM oc_product_reward WHERE product_id = '50' AND customer_group_id = '1'
		 1866 Query	SELECT * FROM oc_product_to_download p2d LEFT JOIN oc_download d ON (p2d.download_id = d.download_id) LEFT JOIN oc_download_description dd ON (d.download_id = dd.download_id) WHERE p2d.product_id = '50' AND dd.language_id = '1'
		 1866 Query	SELECT * FROM oc_recurring r LEFT JOIN oc_product_recurring pr ON (r.recurring_id = pr.recurring_id) LEFT JOIN oc_recurring_description rd ON (r.recurring_id = rd.recurring_id) WHERE r.recurring_id = '0' AND pr.product_id = '50' AND rd.language_id = 1 AND r.status = 1 AND pr.customer_group_id = '1'
		 1866 Quit	
160630 13:53:30	 1867 Connect	root@localhost as anonymous on opencart
		 1867 Query	SET NAMES utf8
		 1867 Query	SET SQL_MODE = ''
		 1867 Query	SELECT * FROM oc_extension WHERE `type` = 'openbay'
		 1867 Query	SELECT * FROM oc_store WHERE REPLACE(`url`, 'www.', '') = 'http://localhost/OpencartStore/'
		 1867 Query	SELECT * FROM `oc_setting` WHERE store_id = '0' OR store_id = '0' ORDER BY store_id ASC
		 1867 Query	SELECT * FROM oc_customer WHERE customer_id = '1' AND status = '1'
		 1867 Query	UPDATE oc_customer SET ip = '127.0.0.1' WHERE customer_id = '1'
		 1867 Query	SELECT * FROM oc_customer_ip WHERE customer_id = '1' AND ip = '127.0.0.1'
		 1867 Query	SELECT * FROM oc_currency
		 1867 Query	SELECT tr1.tax_class_id, tr2.tax_rate_id, tr2.name, tr2.rate, tr2.type, tr1.priority FROM oc_tax_rule tr1 LEFT JOIN oc_tax_rate tr2 ON (tr1.tax_rate_id = tr2.tax_rate_id) INNER JOIN oc_tax_rate_to_customer_group tr2cg ON (tr2.tax_rate_id = tr2cg.tax_rate_id) LEFT JOIN oc_zone_to_geo_zone z2gz ON (tr2.geo_zone_id = z2gz.geo_zone_id) LEFT JOIN oc_geo_zone gz ON (tr2.geo_zone_id = gz.geo_zone_id) WHERE tr1.based = 'shipping' AND tr2cg.customer_group_id = '1' AND z2gz.country_id = '81' AND (z2gz.zone_id = '0' OR z2gz.zone_id = '1256') ORDER BY tr1.priority ASC
		 1867 Query	SELECT tr1.tax_class_id, tr2.tax_rate_id, tr2.name, tr2.rate, tr2.type, tr1.priority FROM oc_tax_rule tr1 LEFT JOIN oc_tax_rate tr2 ON (tr1.tax_rate_id = tr2.tax_rate_id) INNER JOIN oc_tax_rate_to_customer_group tr2cg ON (tr2.tax_rate_id = tr2cg.tax_rate_id) LEFT JOIN oc_zone_to_geo_zone z2gz ON (tr2.geo_zone_id = z2gz.geo_zone_id) LEFT JOIN oc_geo_zone gz ON (tr2.geo_zone_id = gz.geo_zone_id) WHERE tr1.based = 'store' AND tr2cg.customer_group_id = '1' AND z2gz.country_id = '222' AND (z2gz.zone_id = '0' OR z2gz.zone_id = '3563') ORDER BY tr1.priority ASC
		 1867 Query	SELECT * FROM oc_weight_class wc LEFT JOIN oc_weight_class_description wcd ON (wc.weight_class_id = wcd.weight_class_id) WHERE wcd.language_id = '1'
		 1867 Query	SELECT * FROM oc_length_class mc LEFT JOIN oc_length_class_description mcd ON (mc.length_class_id = mcd.length_class_id) WHERE mcd.language_id = '1'
		 1867 Query	DELETE FROM oc_cart WHERE customer_id = '0' AND date_added < DATE_SUB(NOW(), INTERVAL 1 HOUR)
		 1867 Query	UPDATE oc_cart SET session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7' WHERE customer_id = '1'
		 1867 Query	SELECT * FROM oc_cart WHERE customer_id = '0' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1867 Query	SELECT * FROM oc_extension WHERE `type` = 'openbay'
		 1867 Query	SELECT * FROM `oc_event` WHERE `trigger` LIKE 'catalog/%' ORDER BY `event_id` ASC
		 1867 Query	SELECT * FROM oc_country WHERE country_id = '81' AND status = '1'
		 1867 Query	SELECT * FROM oc_zone WHERE country_id = '81' AND status = '1' ORDER BY name
		 1867 Quit	
160630 13:53:51	 1868 Connect	root@localhost as anonymous on opencart
		 1868 Query	SET NAMES utf8
		 1868 Query	SET SQL_MODE = ''
		 1868 Query	SELECT * FROM oc_extension WHERE `type` = 'openbay'
		 1868 Query	SELECT * FROM oc_store WHERE REPLACE(`url`, 'www.', '') = 'http://localhost/OpencartStore/'
		 1868 Query	SELECT * FROM `oc_setting` WHERE store_id = '0' OR store_id = '0' ORDER BY store_id ASC
		 1868 Query	SELECT * FROM oc_customer WHERE customer_id = '1' AND status = '1'
		 1868 Query	UPDATE oc_customer SET ip = '127.0.0.1' WHERE customer_id = '1'
		 1868 Query	SELECT * FROM oc_customer_ip WHERE customer_id = '1' AND ip = '127.0.0.1'
		 1868 Query	SELECT * FROM oc_currency
		 1868 Query	SELECT tr1.tax_class_id, tr2.tax_rate_id, tr2.name, tr2.rate, tr2.type, tr1.priority FROM oc_tax_rule tr1 LEFT JOIN oc_tax_rate tr2 ON (tr1.tax_rate_id = tr2.tax_rate_id) INNER JOIN oc_tax_rate_to_customer_group tr2cg ON (tr2.tax_rate_id = tr2cg.tax_rate_id) LEFT JOIN oc_zone_to_geo_zone z2gz ON (tr2.geo_zone_id = z2gz.geo_zone_id) LEFT JOIN oc_geo_zone gz ON (tr2.geo_zone_id = gz.geo_zone_id) WHERE tr1.based = 'shipping' AND tr2cg.customer_group_id = '1' AND z2gz.country_id = '81' AND (z2gz.zone_id = '0' OR z2gz.zone_id = '1256') ORDER BY tr1.priority ASC
		 1868 Query	SELECT tr1.tax_class_id, tr2.tax_rate_id, tr2.name, tr2.rate, tr2.type, tr1.priority FROM oc_tax_rule tr1 LEFT JOIN oc_tax_rate tr2 ON (tr1.tax_rate_id = tr2.tax_rate_id) INNER JOIN oc_tax_rate_to_customer_group tr2cg ON (tr2.tax_rate_id = tr2cg.tax_rate_id) LEFT JOIN oc_zone_to_geo_zone z2gz ON (tr2.geo_zone_id = z2gz.geo_zone_id) LEFT JOIN oc_geo_zone gz ON (tr2.geo_zone_id = gz.geo_zone_id) WHERE tr1.based = 'store' AND tr2cg.customer_group_id = '1' AND z2gz.country_id = '222' AND (z2gz.zone_id = '0' OR z2gz.zone_id = '3563') ORDER BY tr1.priority ASC
		 1868 Query	SELECT * FROM oc_weight_class wc LEFT JOIN oc_weight_class_description wcd ON (wc.weight_class_id = wcd.weight_class_id) WHERE wcd.language_id = '1'
		 1868 Query	SELECT * FROM oc_length_class mc LEFT JOIN oc_length_class_description mcd ON (mc.length_class_id = mcd.length_class_id) WHERE mcd.language_id = '1'
		 1868 Query	DELETE FROM oc_cart WHERE customer_id = '0' AND date_added < DATE_SUB(NOW(), INTERVAL 1 HOUR)
		 1868 Query	UPDATE oc_cart SET session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7' WHERE customer_id = '1'
		 1868 Query	SELECT * FROM oc_cart WHERE customer_id = '0' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1868 Query	SELECT * FROM oc_extension WHERE `type` = 'openbay'
		 1868 Query	SELECT * FROM `oc_event` WHERE `trigger` LIKE 'catalog/%' ORDER BY `event_id` ASC
		 1868 Query	SELECT *, vtd.name AS theme FROM oc_voucher v LEFT JOIN oc_voucher_theme vt ON (v.voucher_theme_id = vt.voucher_theme_id) LEFT JOIN oc_voucher_theme_description vtd ON (vt.voucher_theme_id = vtd.voucher_theme_id) WHERE v.code = 'v11' AND vtd.language_id = '1' AND v.status = '1'
		 1868 Query	SELECT SUM(amount) AS total FROM `oc_voucher_history` vh WHERE vh.voucher_id = '15' GROUP BY vh.voucher_id
		 1868 Quit	
		 1869 Connect	root@localhost as anonymous on opencart
		 1869 Query	SET NAMES utf8
		 1869 Query	SET SQL_MODE = ''
		 1869 Query	SELECT * FROM oc_extension WHERE `type` = 'openbay'
		 1869 Query	SELECT * FROM oc_store WHERE REPLACE(`url`, 'www.', '') = 'http://localhost/OpencartStore/'
		 1869 Query	SELECT * FROM `oc_setting` WHERE store_id = '0' OR store_id = '0' ORDER BY store_id ASC
		 1869 Query	SELECT * FROM oc_customer WHERE customer_id = '1' AND status = '1'
		 1869 Query	UPDATE oc_customer SET ip = '127.0.0.1' WHERE customer_id = '1'
		 1869 Query	SELECT * FROM oc_customer_ip WHERE customer_id = '1' AND ip = '127.0.0.1'
		 1869 Query	SELECT * FROM oc_currency
		 1869 Query	SELECT tr1.tax_class_id, tr2.tax_rate_id, tr2.name, tr2.rate, tr2.type, tr1.priority FROM oc_tax_rule tr1 LEFT JOIN oc_tax_rate tr2 ON (tr1.tax_rate_id = tr2.tax_rate_id) INNER JOIN oc_tax_rate_to_customer_group tr2cg ON (tr2.tax_rate_id = tr2cg.tax_rate_id) LEFT JOIN oc_zone_to_geo_zone z2gz ON (tr2.geo_zone_id = z2gz.geo_zone_id) LEFT JOIN oc_geo_zone gz ON (tr2.geo_zone_id = gz.geo_zone_id) WHERE tr1.based = 'shipping' AND tr2cg.customer_group_id = '1' AND z2gz.country_id = '81' AND (z2gz.zone_id = '0' OR z2gz.zone_id = '1256') ORDER BY tr1.priority ASC
		 1869 Query	SELECT tr1.tax_class_id, tr2.tax_rate_id, tr2.name, tr2.rate, tr2.type, tr1.priority FROM oc_tax_rule tr1 LEFT JOIN oc_tax_rate tr2 ON (tr1.tax_rate_id = tr2.tax_rate_id) INNER JOIN oc_tax_rate_to_customer_group tr2cg ON (tr2.tax_rate_id = tr2cg.tax_rate_id) LEFT JOIN oc_zone_to_geo_zone z2gz ON (tr2.geo_zone_id = z2gz.geo_zone_id) LEFT JOIN oc_geo_zone gz ON (tr2.geo_zone_id = gz.geo_zone_id) WHERE tr1.based = 'store' AND tr2cg.customer_group_id = '1' AND z2gz.country_id = '222' AND (z2gz.zone_id = '0' OR z2gz.zone_id = '3563') ORDER BY tr1.priority ASC
		 1869 Query	SELECT * FROM oc_weight_class wc LEFT JOIN oc_weight_class_description wcd ON (wc.weight_class_id = wcd.weight_class_id) WHERE wcd.language_id = '1'
		 1869 Query	SELECT * FROM oc_length_class mc LEFT JOIN oc_length_class_description mcd ON (mc.length_class_id = mcd.length_class_id) WHERE mcd.language_id = '1'
		 1869 Query	DELETE FROM oc_cart WHERE customer_id = '0' AND date_added < DATE_SUB(NOW(), INTERVAL 1 HOUR)
		 1869 Query	UPDATE oc_cart SET session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7' WHERE customer_id = '1'
		 1869 Query	SELECT * FROM oc_cart WHERE customer_id = '0' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1869 Query	SELECT * FROM oc_extension WHERE `type` = 'openbay'
		 1869 Query	SELECT * FROM `oc_event` WHERE `trigger` LIKE 'catalog/%' ORDER BY `event_id` ASC
		 1869 Query	SELECT * FROM oc_cart WHERE customer_id = '1' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1869 Query	SELECT * FROM oc_product_to_store p2s LEFT JOIN oc_product p ON (p2s.product_id = p.product_id) LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) WHERE p2s.store_id = '0' AND p2s.product_id = '50' AND pd.language_id = '1' AND p.date_available <= NOW() AND p.status = '1'
		 1869 Query	SELECT price FROM oc_product_discount WHERE product_id = '50' AND customer_group_id = '1' AND quantity <= '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY quantity DESC, priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT price FROM oc_product_special WHERE product_id = '50' AND customer_group_id = '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT points FROM oc_product_reward WHERE product_id = '50' AND customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_product_to_download p2d LEFT JOIN oc_download d ON (p2d.download_id = d.download_id) LEFT JOIN oc_download_description dd ON (d.download_id = dd.download_id) WHERE p2d.product_id = '50' AND dd.language_id = '1'
		 1869 Query	SELECT * FROM oc_recurring r LEFT JOIN oc_product_recurring pr ON (r.recurring_id = pr.recurring_id) LEFT JOIN oc_recurring_description rd ON (r.recurring_id = rd.recurring_id) WHERE r.recurring_id = '0' AND pr.product_id = '50' AND rd.language_id = 1 AND r.status = 1 AND pr.customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_cart WHERE customer_id = '1' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1869 Query	SELECT * FROM oc_product_to_store p2s LEFT JOIN oc_product p ON (p2s.product_id = p.product_id) LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) WHERE p2s.store_id = '0' AND p2s.product_id = '50' AND pd.language_id = '1' AND p.date_available <= NOW() AND p.status = '1'
		 1869 Query	SELECT price FROM oc_product_discount WHERE product_id = '50' AND customer_group_id = '1' AND quantity <= '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY quantity DESC, priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT price FROM oc_product_special WHERE product_id = '50' AND customer_group_id = '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT points FROM oc_product_reward WHERE product_id = '50' AND customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_product_to_download p2d LEFT JOIN oc_download d ON (p2d.download_id = d.download_id) LEFT JOIN oc_download_description dd ON (d.download_id = dd.download_id) WHERE p2d.product_id = '50' AND dd.language_id = '1'
		 1869 Query	SELECT * FROM oc_recurring r LEFT JOIN oc_product_recurring pr ON (r.recurring_id = pr.recurring_id) LEFT JOIN oc_recurring_description rd ON (r.recurring_id = rd.recurring_id) WHERE r.recurring_id = '0' AND pr.product_id = '50' AND rd.language_id = 1 AND r.status = 1 AND pr.customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_cart WHERE customer_id = '1' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1869 Query	SELECT * FROM oc_product_to_store p2s LEFT JOIN oc_product p ON (p2s.product_id = p.product_id) LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) WHERE p2s.store_id = '0' AND p2s.product_id = '50' AND pd.language_id = '1' AND p.date_available <= NOW() AND p.status = '1'
		 1869 Query	SELECT price FROM oc_product_discount WHERE product_id = '50' AND customer_group_id = '1' AND quantity <= '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY quantity DESC, priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT price FROM oc_product_special WHERE product_id = '50' AND customer_group_id = '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT points FROM oc_product_reward WHERE product_id = '50' AND customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_product_to_download p2d LEFT JOIN oc_download d ON (p2d.download_id = d.download_id) LEFT JOIN oc_download_description dd ON (d.download_id = dd.download_id) WHERE p2d.product_id = '50' AND dd.language_id = '1'
		 1869 Query	SELECT * FROM oc_recurring r LEFT JOIN oc_product_recurring pr ON (r.recurring_id = pr.recurring_id) LEFT JOIN oc_recurring_description rd ON (r.recurring_id = rd.recurring_id) WHERE r.recurring_id = '0' AND pr.product_id = '50' AND rd.language_id = 1 AND r.status = 1 AND pr.customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_cart WHERE customer_id = '1' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1869 Query	SELECT * FROM oc_product_to_store p2s LEFT JOIN oc_product p ON (p2s.product_id = p.product_id) LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) WHERE p2s.store_id = '0' AND p2s.product_id = '50' AND pd.language_id = '1' AND p.date_available <= NOW() AND p.status = '1'
		 1869 Query	SELECT price FROM oc_product_discount WHERE product_id = '50' AND customer_group_id = '1' AND quantity <= '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY quantity DESC, priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT price FROM oc_product_special WHERE product_id = '50' AND customer_group_id = '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT points FROM oc_product_reward WHERE product_id = '50' AND customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_product_to_download p2d LEFT JOIN oc_download d ON (p2d.download_id = d.download_id) LEFT JOIN oc_download_description dd ON (d.download_id = dd.download_id) WHERE p2d.product_id = '50' AND dd.language_id = '1'
		 1869 Query	SELECT * FROM oc_recurring r LEFT JOIN oc_product_recurring pr ON (r.recurring_id = pr.recurring_id) LEFT JOIN oc_recurring_description rd ON (r.recurring_id = rd.recurring_id) WHERE r.recurring_id = '0' AND pr.product_id = '50' AND rd.language_id = 1 AND r.status = 1 AND pr.customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_cart WHERE customer_id = '1' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1869 Query	SELECT * FROM oc_product_to_store p2s LEFT JOIN oc_product p ON (p2s.product_id = p.product_id) LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) WHERE p2s.store_id = '0' AND p2s.product_id = '50' AND pd.language_id = '1' AND p.date_available <= NOW() AND p.status = '1'
		 1869 Query	SELECT price FROM oc_product_discount WHERE product_id = '50' AND customer_group_id = '1' AND quantity <= '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY quantity DESC, priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT price FROM oc_product_special WHERE product_id = '50' AND customer_group_id = '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT points FROM oc_product_reward WHERE product_id = '50' AND customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_product_to_download p2d LEFT JOIN oc_download d ON (p2d.download_id = d.download_id) LEFT JOIN oc_download_description dd ON (d.download_id = dd.download_id) WHERE p2d.product_id = '50' AND dd.language_id = '1'
		 1869 Query	SELECT * FROM oc_recurring r LEFT JOIN oc_product_recurring pr ON (r.recurring_id = pr.recurring_id) LEFT JOIN oc_recurring_description rd ON (r.recurring_id = rd.recurring_id) WHERE r.recurring_id = '0' AND pr.product_id = '50' AND rd.language_id = 1 AND r.status = 1 AND pr.customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_extension WHERE `type` = 'total'
		 1869 Query	SELECT * FROM oc_cart WHERE customer_id = '1' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1869 Query	SELECT * FROM oc_product_to_store p2s LEFT JOIN oc_product p ON (p2s.product_id = p.product_id) LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) WHERE p2s.store_id = '0' AND p2s.product_id = '50' AND pd.language_id = '1' AND p.date_available <= NOW() AND p.status = '1'
		 1869 Query	SELECT price FROM oc_product_discount WHERE product_id = '50' AND customer_group_id = '1' AND quantity <= '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY quantity DESC, priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT price FROM oc_product_special WHERE product_id = '50' AND customer_group_id = '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT points FROM oc_product_reward WHERE product_id = '50' AND customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_product_to_download p2d LEFT JOIN oc_download d ON (p2d.download_id = d.download_id) LEFT JOIN oc_download_description dd ON (d.download_id = dd.download_id) WHERE p2d.product_id = '50' AND dd.language_id = '1'
		 1869 Query	SELECT * FROM oc_recurring r LEFT JOIN oc_product_recurring pr ON (r.recurring_id = pr.recurring_id) LEFT JOIN oc_recurring_description rd ON (r.recurring_id = rd.recurring_id) WHERE r.recurring_id = '0' AND pr.product_id = '50' AND rd.language_id = 1 AND r.status = 1 AND pr.customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_cart WHERE customer_id = '1' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1869 Query	SELECT * FROM oc_product_to_store p2s LEFT JOIN oc_product p ON (p2s.product_id = p.product_id) LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) WHERE p2s.store_id = '0' AND p2s.product_id = '50' AND pd.language_id = '1' AND p.date_available <= NOW() AND p.status = '1'
		 1869 Query	SELECT price FROM oc_product_discount WHERE product_id = '50' AND customer_group_id = '1' AND quantity <= '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY quantity DESC, priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT price FROM oc_product_special WHERE product_id = '50' AND customer_group_id = '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT points FROM oc_product_reward WHERE product_id = '50' AND customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_product_to_download p2d LEFT JOIN oc_download d ON (p2d.download_id = d.download_id) LEFT JOIN oc_download_description dd ON (d.download_id = dd.download_id) WHERE p2d.product_id = '50' AND dd.language_id = '1'
		 1869 Query	SELECT * FROM oc_recurring r LEFT JOIN oc_product_recurring pr ON (r.recurring_id = pr.recurring_id) LEFT JOIN oc_recurring_description rd ON (r.recurring_id = rd.recurring_id) WHERE r.recurring_id = '0' AND pr.product_id = '50' AND rd.language_id = 1 AND r.status = 1 AND pr.customer_group_id = '1'
		 1869 Query	SELECT SUM(amount) AS total FROM oc_customer_transaction WHERE customer_id = '1'
		 1869 Query	SELECT *, vtd.name AS theme FROM oc_voucher v LEFT JOIN oc_voucher_theme vt ON (v.voucher_theme_id = vt.voucher_theme_id) LEFT JOIN oc_voucher_theme_description vtd ON (vt.voucher_theme_id = vtd.voucher_theme_id) WHERE v.code = 'v11' AND vtd.language_id = '1' AND v.status = '1'
		 1869 Query	SELECT SUM(amount) AS total FROM `oc_voucher_history` vh WHERE vh.voucher_id = '15' GROUP BY vh.voucher_id
		 1869 Query	SELECT SUM(points) AS total FROM oc_customer_reward WHERE customer_id = '1'
		 1869 Query	SELECT * FROM oc_cart WHERE customer_id = '1' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
		 1869 Query	SELECT * FROM oc_product_to_store p2s LEFT JOIN oc_product p ON (p2s.product_id = p.product_id) LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) WHERE p2s.store_id = '0' AND p2s.product_id = '50' AND pd.language_id = '1' AND p.date_available <= NOW() AND p.status = '1'
		 1869 Query	SELECT price FROM oc_product_discount WHERE product_id = '50' AND customer_group_id = '1' AND quantity <= '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY quantity DESC, priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT price FROM oc_product_special WHERE product_id = '50' AND customer_group_id = '1' AND ((date_start = '0000-00-00' OR date_start < NOW()) AND (date_end = '0000-00-00' OR date_end > NOW())) ORDER BY priority ASC, price ASC LIMIT 1
		 1869 Query	SELECT points FROM oc_product_reward WHERE product_id = '50' AND customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_product_to_download p2d LEFT JOIN oc_download d ON (p2d.download_id = d.download_id) LEFT JOIN oc_download_description dd ON (d.download_id = dd.download_id) WHERE p2d.product_id = '50' AND dd.language_id = '1'
		 1869 Query	SELECT * FROM oc_recurring r LEFT JOIN oc_product_recurring pr ON (r.recurring_id = pr.recurring_id) LEFT JOIN oc_recurring_description rd ON (r.recurring_id = rd.recurring_id) WHERE r.recurring_id = '0' AND pr.product_id = '50' AND rd.language_id = 1 AND r.status = 1 AND pr.customer_group_id = '1'
		 1869 Query	SELECT * FROM oc_cart WHERE customer_id = '1' AND session_id = 'mvqpkhrcuc3ae8jf0plvrcriu7'
